Title                                                            Year                Length              
-----                                                            ----                ------              
101 Dalmatians                                                   1996                103                 
101 Dalmatians (Animated)                                        1961                79                  
101 Dalmations II: Patch's London Adventure                      2003                70                  
102 Dalmatians                                                   2000                100                 
20,000 Leagues Under the Sea                                     1954                127                 
Absent-Minded Professor, The                                     1961                92                  
Adventures of Bullwhip Griffin, The                              1967                108                 
Adventures of Huck Finn, The                                     1993                108                 
Adventures of Ichabod and Mr. Toad, The                          1949                68                  
Air Bud                                                          1997                98                  
Air Bud 3: World Pup                                             2000                83                  
Air Bud Spikes Back                                              2003                87                  
Air Bud: Golden Receiver                                         1998                90                  
Air Bud: Seventh Inning Fetch                                    2002                93                  
Air Buddies                                                      2006                80                  
Aladdin                                                          1992                90                  
Alexander and the Terrible, Horrible, No Good, Very Bad Day      2014                0                   
Alice In Wonderland                                              2010                108                 
Alley Cats Strike                                                2000                87                  
Almost Angels                                                    1962                93                  
Amy                                                              1981                100                 
Angels in the Endzone                                            1997                88                  
Angels In The Infield                                            2000                87                  
Angels in the Outfield                                           1994                102                 
Apple Dumpling Gang Rides Again                                  1979                88                  
Apple Dumpling Gang, The                                         1975                100                 
AristoCats, The                                                  1970                78                  
Around the World in 80 Days                                      1957                120                 
Atlantis: Milo's Return                                          2003                70                  
Atlantis: The Lost Empire                                        2001                95                  
Avalon High                                                      2010                0                   
Babes in Toyland                                                 1961                106                 
Bambi                                                            1942                69                  
Bambi II                                                         2006                70                  
Barefoot Executive, The                                          1971                96                  
Basil - The Great Mouse Detective                                1986                74                  
Bears and I, The                                                 1974                89                  
Beauty and the Beast                                             1991                84                  
Beauty and the Beast: The Enchanted Christmas                    1997                72                  
Bedknobs and Broomsticks                                         1971                117                 
Bedtime Stories                                                  2008                99                  
Benji the Hunted                                                 1987                88                  
Beverly Hills Chihuahua                                          2008                93                  
Beverly Hills Chihuahua 2                                        2011                84                  
Beverly Hills Chihuahua 3: Viva La Fiesta!                       2012                90                  
Big Green, The                                                   1995                100                 
Big Hero 6                                                       2014                0                   
Big Red                                                          1962                89                  
Biscuit Eater, The                                               1972                90                  
Black Cauldron, The                                              1985                80                  
Black Hole, The                                                  1979                98                  
Blackbeard's Ghost                                               1968                106                 
Blank Check                                                      1994                93                  
Boatniks, The                                                    1970                99                  
Bolt                                                             2008                96                  
Bon Voyage!                                                      1962                130                 
Boy Who Talked to Badgers, The                                   1975                98                  
Brave                                                            2012                100                 
Brave Little Toaster, The                                        1987                90                  
Bridge to Terabithia                                             2007                95                  
Brink!                                                           1998                99                  
Brother Bear                                                     2003                82                  
Brother Bear 2                                                   2006                70                  
Buffalo Dreams                                                   2005                90                  
Bugs Life, A                                                     1998                96                  
Cadet Kelly                                                      2002                101                 
Camp Rock                                                        2008                94                  
Camp Rock 2: The Final Jam                                       2010                97                  
Can of Worms                                                     1999                90                  
Candleshoe                                                       1977                101                 
Cars                                                             2006                116                 
Cars 2                                                           2011                113                 
Castaway Cowboy                                                  1974                91                  
Cat from Outer Space, The                                        1978                104                 
Chandar, the Black Leopard of Ceylon                             1972                90                  
Charley and the Angel                                            1973                93                  
Charlie, the Lonesome Cougar                                     1967                75                  
Cheetah                                                          1989                83                  
Cheetah Girls 2, The                                             2006                96                  
Cheetah Girls, The                                               2003                100                 
Cheetah Girls, The: One World                                    2008                90                  
Chicken Little                                                   2005                81                  
Christmas Carol, A                                               2009                98                  
Chronicles of Narnia: Prince Caspian                             2008                144                 
Chronicles of Narnia: The Lion, Witch and the Wardrobe           2005                143                 
Cinderella                                                       2015                0                   
Cinderella II: Dreams Come True                                  2002                73                  
Cinderella III: A Twist in Time                                  2007                70                  
College Road Trip                                                2008                83                  
Color of Friendship, The                                         2000                87                  
Computer Wore Tennis Shoes, The                                  1969                91                  
Condorman                                                        1981                90                  
Confessions of a Teenage Drama Queen                             2004                89                  
Cool Runnings                                                    1993                98                  
Country Bears, The                                               2002                88                  
Cow Belles                                                       2006                90                  
D2: The Mighty Ducks                                             1994                106                 
D3: The Mighty Ducks                                             1996                104                 
Dadnapped                                                        2009                90                  
Darby O'Gill and the Little People                               1959                93                  
Darn Cat, That                                                   1997                89                  
Davy Crockett and the River Pirates                              1956                81                  
Davy Crockett, King of the Wild Frontier                         1955                93                  
Den Brother                                                      2010                89                  
Devil and Max Devlin, The                                        1981                96                  
Dinosaur                                                         2000                82                  
Don't Look Under The Bed                                         1999                92                  
Double Teamed                                                    2002                120                 
Doug's 1st Movie                                                 1999                77                  
Dragonslayer                                                     1981                108                 
DuckTales: The Movie - Treasure of the Lost Lamp                 1990                74                  
Dumbo                                                            1941                64                  
Eddie's Million Dollar Cook-Off                                  2003                85                  
Eight Below                                                      2006                120                 
Emil and the Detectives                                          1964                92                  
Emperor's New Groove 2: Kronk's New Groove                       2005                72                  
Emperor's New Groove, The                                        2000                78                  
Enchanted                                                        2007                107                 
Endurance                                                        1999                83                  
Escape From The Dark (The Littlest Horse Thieves)                1976                104                 
Escape to Witch Mountain                                         1975                97                  
Even Stevens Movie, The                                          2003                93                  
Extremely Goofy Movie, An                                        2000                76                  
Fantasia                                                         1940                120                 
Fantasia 2000                                                    1999                75                  
Far Off Place, A                                                 1993                100                 
Fighting Prince of Donegal, The                                  1966                110                 
Finding Dory                                                     2015                0                   
Finding Nemo                                                     2003                100                 
First Kid                                                        1996                101                 
Flight of the Navigator                                          1986                90                  
Flubber                                                          1997                93                  
Follow Me, Boys!                                                 1966                131                 
Fox and the Hound 2, The                                         2006                69                  
Fox and the Hound, The                                           1981                83                  
Frankenweenie                                                    2012                87                  
Freaky Friday                                                    2003                97                  
Frenemies                                                        2012                0                   
Frozen                                                           2013                102                 
Full-Court Miracle                                               2003                90                  
Fun & Fancy Free                                                 1947                73                  
G-Force                                                          2009                89                  
Game Plan, The                                                   2007                110                 
Geek Charming                                                    2011                98                  
Genius                                                           1999                82                  
George of the Jungle                                             1997                92                  
George of the Jungle 2                                           2003                87                  
Geppetto                                                         2000                89                  
Get a Clue                                                       2002                83                  
Girl vs. Monster                                                 2012                89                  
Glory Road                                                       2006                118                 
Gnome-Mobile, The                                                1967                84                  
Go Figure                                                        2005                88                  
Going to the Mat                                                 2004                96                  
Good Dinosaur, The                                               2014                0                   
Good Luck Charlie, It's Christmas                                2011                90                  
Goofy Movie, A                                                   1995                78                  
Gotta Kick It Up!                                                2002                78                  
Great Locomotive Chase, The                                      1956                85                  
Greatest Game Ever Played, The                                   2005                120                 
Greyfriars Bobby                                                 1961                87                  
Gus                                                              1976                96                  
H-E Double Hockey Sticks                                         1999                95                  
Halloweentown                                                    1998                84                  
Halloweentown High                                               2004                83                  
Halloweentown II: Kalabar's Revenge                              2001                81                  
Hannah Montana: The Movie                                        2009                102                 
Happiest Millionaire, The                                        1967                141                 
Hatching Pete                                                    2009                89                  
Haunted Mansion, The                                             2003                88                  
Heavy Weights                                                    1995                100                 
Herbie Fully Loaded                                              2005                101                 
Herbie Goes Bananas                                              1980                100                 
Herbie Goes to Monte Carlo                                       1977                105                 
Herbie Rides Again                                               1974                88                  
Hercules                                                         1997                92                  
High School Musical                                              2006                93                  
High School Musical 2                                            2007                104                 
High School Musical 3: Senior Year                               2008                100                 
Hill, The                                                        2013                0                   
Hocus Pocus                                                      1993                96                  
Holes                                                            2003                117                 
Home on the Range                                                2004                76                  
Homeward Bound II: Lost in San Francisco                         1996                89                  
Homeward Bound: The Incredible Journey                           1993                84                  
Honey I Blew Up the Kid                                          1992                89                  
Honey, I Shrunk the Kids                                         1989                93                  
Horse in the Gray Flannel Suit, The                              1968                113                 
Horse Sense                                                      1999                92                  
Hot Lead and Cold Feet                                           1978                90                  
Hounded                                                          2001                92                  
Howl's Moving Castle                                             2004                119                 
Hunchback of Notre Dame, The                                     1996                91                  
I'll Be Home for Christmas                                       1998                86                  
Ice Princess                                                     2005                98                  
In Search of Castaways                                           1962                98                  
